,name,url
110,"1-комн. квартира, 30 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/307342611/
111,"2-комн. квартира, 37,6 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/310548806/
112,"2-комн. квартира, 58,6 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/313974571/
113,"2-комн. квартира, 58,4 м², 2/5 этаж",https://kemerovo.cian.ru/sale/flat/314777361/
114,"3-комн. квартира, 60,4 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/314335504/
115,"2-комн. квартира, 50 м², 7/9 этаж",https://kemerovo.cian.ru/sale/flat/301395969/
116,"1-комн. квартира, 30 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/300237882/
117,"1-комн. квартира, 29,2 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/312207650/
118,"2-комн. квартира, 52 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/314079528/
119,"3-комн. квартира, 59,4 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/310077444/
120,"2-комн. квартира, 43,3 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/312642879/
121,"2-комн. квартира, 57,8 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/310789978/
122,"2-комн. квартира, 44,9 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/307470752/
123,"2-комн. квартира, 52 м², 3/9 этаж",https://kemerovo.cian.ru/sale/flat/309202555/
124,"3-комн. квартира, 54,7 м², 1/3 этаж",https://kemerovo.cian.ru/sale/flat/304462131/
125,"3-комн. квартира, 61 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/299511841/
126,"3-комн. квартира, 76,8 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314224900/
127,"2-комн. квартира, 50 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310396384/
128,"2-комн. квартира, 43,1 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/305748555/
129,"Своб. планировка, 60,6 м², 1/1 этаж",https://kemerovo.cian.ru/sale/flat/314510437/
130,"2-комн. квартира, 49 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310396623/
131,"3-комн. квартира, 61,6 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310047095/
132,"2-комн. квартира, 43 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/300042163/
133,"2-комн. квартира, 52 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/306486552/
134,"4-комн. квартира, 77 м², 7/10 этаж",https://kemerovo.cian.ru/sale/flat/307706801/
135,"2-комн. квартира, 40 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/312258930/
