,Имя,Ссылка,Цена,Адрес,Описание,Общая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Обременения,Кадастровый номер,Площадь,Тип помещения,Парковка,Собственников,Жилая площадь,Мусоропровод,Продаётся с мебелью,Балкон/лоджия,Количество лифтов,Газоснабжение,Размер доли
243,"1-комн. квартира, 37 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/305481457/,2 950 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Яворского, 12АНа карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 1 к. квартиру в Прокопьевске по ул. Яворского 12А
Цена: 2 млн. 950 тыс. руб (без дополнительных комиссий и %)
Этаж: 5/5
Площадь: 37 кв.м.
Описание: Рядом расположена школа , детский сад , магазины. Новый дом , квартира после ремонта , натяжные потолки , новые межкомнатные двери, качественная входная дверь, санузел раздельный с отделкой кафель .
Профессиональное юридическое сопровождение сделки.
Обращайтесь для уточнения информации или подбора Вам нужного варианта бесплатно.
Узнать больше  ",37 м²,9 м²,5 из 5,2014,Вторичка,,1 раздельный,Во двор,Косметический,Индивидуальный проект,,Железобетонные,1,Центральное,Нет,,,,,Наземная,,,,,,,,
244,"4-комн. квартира, 76,3 м², 2/9 этаж",https://kemerovo.cian.ru/sale/flat/308917340/,5 250 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 58На карте","Прoдaм просторную 4-xкoмнaтную квaртиру на 2-м этаже 9-тиэтaжногo домa улучшенной плaнирoвки c прocтopнoй кухней, 3-мя балконами, oдин из кoтopыx застеклен. Окна квартиpы выxoдят на 2 сторoны: вo двop с дocтаточным кoличeством парковочныx меcт c одной стopоны, и c кpacивым видoм нa беpезoвыe посадки и pоскошным цветником под балконом - с другой. Квартира тёплая в зимнее время года и приятно прохладная - в летнее. Вся интраструктура в шаговой доступности: школа, детский сад, гипермаркет Лента, магазины Пятёрочка, Мария Ра, аптека, Губернский рынок, Солнечный городок с детскими аттракционами и Молодёжный парк, автобусная и трамвайная остановки. Возможна продажа в ипотеку без первоначального взноса, а также под различные виды сертификатов. Полное документальное сопровождение сделки! Записывайтесь на просмотр! . Номер в базе: 10816095.
Узнать больше  ","76,3 м²",5 м²,2 из 9,1986,Вторичка,,,,Косметический,111-97,Панельный,Железобетонные,8,Центральное,Нет,,,,,,,,,,2 балкона,1 пассажирский,,
245,"3-комн. квартира, 57,5 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/310230532/,4 750 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 6На карте","Продам 3-х комнатную квартиру в районе Ромашка. Oтличнaя тpaнспортная развязка, в шaговoй дoступности ocтанoвки oбщеcтвeннoгo тpанcпoртa, школа 32, гимназия,дeтский сад , в шаговой доступности  находитcя английcкая школа ""Северная звезда"", торговые центры, магазины.  В квартире пластиковые окна, кондиционер, гардероб.  Проводка новая.  Балкон застеклен.   Мебель и бытовая техника по договорённости.  2 взрослых собственника. Торг реальному покупателю.","57,5 м²","5,8 м²",4,1964,Вторичка,"2,5 м",1 совмещенный,На улицу,Косметический,1-464,Панельный,Железобетонные,4,Центральное,Нет,Есть,42:32:0103013:***,"57,5 м²",Жилое,Наземная,2,"41,7 м²",,,1 балкон,,,
246,"1-комн. квартира, 29,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/302709209/,2 350 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Надежды Крупской, 22На карте","Продам 1 комнатную квартиру на Тыргане. Пластиковые окна. Пол деревянный, двери межкомнатные деревянные. Сан.узел совмещенный. Поменяны радиаторы. Квартира теплая. Балкон не застеклен, окна выходят во двор, на Администрацию. Удобная локация, рядом в шаговой доступности трамвайная остановка, магазины, аптеки и Сбербанк. Взрослые собственники. Документы готовы к продаже. Нет обременений. Возможно купить в ипотеку и под все виды сертификатов. Полное юридическое сопровождение. . Номер в базе: 11050343.","29,5 м²",6 м²,5 из 5,1979,Вторичка,,1 совмещенный,,Косметический,,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,,,,1 балкон,,,
247,"4-комн. квартира, 86,8 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/307703104/,3 206 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Вокзальная ул., 53На карте","ОАО РЖД продает четырехкомнатную квартиру площадью 86,8 кв. м в г. Прокопьевск Кемеровской области.
Квартира расположена на пятом этаже пятиэтажного кирпичного дома 1999 года постройки. Удобная планировка, жилая площадь 55,5 кв. м, кухня 7,7 кв. м. Квартира в хорошем состоянии, выполнен косметический ремонт. Наличие парковочных мест рядом с домом.
Квартира находится в центральной части города, в районе с развитой инфраструктурой. Рядом станция Прокопьевск. В шаговой доступности школа, детский сад, больницы, магазины, остановки транспорта.
Об организации осмотра и подробных условиях продажи Вы можете узнать по телефону в объявлении.
Узнать больше  
Аукцион
Объект продаётся на сайте электронных торгов. В объявлении указана стартовая цена","86,8 м²","7,7 м²",5,1995,Вторичка,,1 раздельный,Во двор,Косметический,Индивидуальный проект,Кирпичный,Железобетонные,6,Центральное,Нет,Нет,42:32:0101011:***,"86,8 м²",Жилое,,0,"55,5 м²",,,,,,
248,"2-комн. квартира, 52,5 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/312878696/,4 150 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 11На карте","Продается квартира по пр. Строителей 11.
Квартира расположена на среднем этаже
9-ти этажного панельного дома. Квартира не угловая. В квартире: две раздельные комнаты, раздельный санузел, кухня, коридор, два балкона в каждой из комнат.
Квартира на солнечной стороне дома.
Квартира теплая. Рядом расположены все инфраструктуры: поликлиника, автобусная и трамвайная остановка, торговые центр, магазины, сады и школы. Квартира продается от собственника в виду смены места жительства в другом городе. В квартире косметический ремонт, соседи люди в возрасте, домофон с видео регистратором.
Узнать больше  ","52,5 м²","8,8 м²",6,1983,Вторичка,"2,65 м",1 раздельный,На улицу,Косметический,,Панельный,Железобетонные,3,Центральное,Нет,Нет,42:32:0103013:***,"70,1 м²",Жилое,Наземная,1,"29,6 м²",,,2 балкона,1 пассажирский,,
249,"2-комн. квартира, 43,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/291934391/,3 300 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Институтская ул., 9На карте","Продам хорошую, теплую и уютную двухкомнатную квартиру в районе Тыргана. Удобная планировка. Комнаты раздельные, изолированные. Балкон застеклен. В квартире выполнен косметический ремонт. Установлены натяжные потолки, частично постелен линолеум, на стенах поклеены обои. Окна пластиковые. Сан.узел раздельный, выложен кафелем. Имеется большая кладовая, можно использовать как гардеробную. Частично остается мебель. В шаговой доступности детский сад, школа, различные магазины, остановки всех видов транспорта. Возможно приобретение данной квартиры с участием средств материнского капитала, а также в ипотеку без первоначального взноса. Спешите записаться на просмотр! . Номер в базе: 9833351.
Узнать больше  ","43,5 м²",6 м²,5 из 5,1968,Вторичка,,1 раздельный,,Косметический,,Кирпичный,Железобетонные,4,Центральное,Нет,,,,,,,,,,1 балкон,,,
250,"3-комн. квартира, 61,9 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/314610784/,2 970 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Мартехова, 9На карте","Компания недвижимости Этажи предлагает к продаже трехкомнатную квартиру в районе Тыргана. 

Квартира расположена на втором этаже трехэтажного кирпичного дома, не угловая, очень теплая. Состояние квартиры- под ремонт. Балкона нет. Санузел раздельный. Потолки высокие, комнаты просторные. Установлена новая входная дверь, два пластиковых окна.

 Локация удобная для проживания, все в шаговой доступности.

 Документы готовы к продаже, один взрослый собственник. Квартира без долгов и обременений. . Номер в базе: 11865477.
Узнать больше  ","61,9 м²",9 м²,2 из 3,2000,Вторичка,,1 раздельный,,Без ремонта,Индивидуальный проект,Кирпичный,Смешанные,2,Центральное,Нет,,,,,,,,,,,,,
251,"4-комн. квартира, 81 м², 3/4 этаж",https://kemerovo.cian.ru/sale/flat/297289560/,2 900 000 ₽,"Кемеровская область, Прокопьевск, р-н Зенковский, 2-я Полеводческая ул., 22АНа карте","Квартира расположена в кирпичном доме. Все комнаты изолированы, везде пластиковые окна, на полу постелен  линолеум, Санузел раздельный. Большой балкон застеклен с внутренней отделкой.Частично остается мебель и бытовая техника. В шаговой доступности- почта, магазины, автобусная остановка. Рядом имеется детский сад ""Ягодка"", школа # 18, Зенковский парк. Собственник.",81 м²,,3 из 4,1989,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-86,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,"53,8 м²",,,1 балкон,,,
252,"4-комн. квартира, 72 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/314335498/,6 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Тырган микрорайон, 10-й микрорайон, 5На карте","Пpoдаём большую четырехкомнатную квapтиру. Kомфоpтный шестой этаж пaнeльного дeвятиэтажнoгo дома, oтличная плaнирoвкa с проcтopной кухнeй 9 кв. метpа, изолирoванныe кoмнаты, вмеcтительная прихожая и раздельный сан.узел - в таких квартирах ХОЧЕТСЯ ЖИТЬ! Светлая, тёплая и уютная.
Отличное состояние нашего варианта позволяет заехать сюда сразу. Выполнен хороший косметический ремонт. Установлены пластиковые окна, надёжная входная и хорошие межкомнатные двери; два застекленных балкона; ванная комната отделана кафелем приятной расцветки.
Дом расположен в развитом районе. В непосредственной близости - детский сад и школа, магазины и супермаркеты,
К Вашим услугам будут различные маршруты общественного транспорта. Остановка - в двух минутах ходьбы.
Звоните, ответим на все вопросы, организуем показ. Сделайте первый шаг и правильный выбор! . Номер в базе: 11576395.
Узнать больше  ",72 м²,9 м²,6 из 9,1990,Вторичка,,1 раздельный,,Косметический,,,,,,,,,,,,,,,,2 балкона,1 пассажирский,,
253,"3-комн. квартира, 74,7 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/297740224/,5 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Надежды Крупской, 15На карте","Агентство недвижимости СОЮЗ ПЛЮС 
Покупайте: 3-к. Квартиру в Прокопьевске по ул. Н.Крупской 15 
Ипотеку возможно оформить по 2 документам и с плохой КИ 
Цена: 5млн.  руб. (Без дополнительных комиссий и %.) 
Этаж: 1/5 
Площадь: 74.7 кв. м. 
Описание: Рядом автобусная остановка, школа, Сбербанк, магазины, детский сад, почта, остановки общественного транспорта. Квартира в новом доме ( с момента получения ни кто не проживал ) , высокий цоколь , большая кладовая комната , санузел раздельный ( с отделкой кафель ) . 
Профессиональное юридическое сопровождение сделки.
Узнать больше  ","74,7 м²",,1 из 5,2023,Вторичка,,1 раздельный,Во двор,Косметический,,,Нет информации,,Нет информации,Нет,,,,,,,,,,,,,
254,"1-комн. квартира, 35,9 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/304921779/,2 798 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Надежды Крупской, 15На карте","Собственник!Квартира в новом доме 2024 года,не вторичка.Тёплая,светлая,с хорошей звукоизоляцией + сверху никто не скачет.В квартире тихо.Счётчики на свет и воду.Натяжной потолок,Евро-окна,батареи с регулятором тепла.Вытежка в комнате и сан узеле, с выключателями.Балкон.В шаговой доступности детсад,школа,магазины,банки,кафе.Большая парковка. Остановка автобусов и трамваев в 50м.В 5 минутах ходьбы центр города""Снежинка"".","35,9 м²",12 м²,5 из 5,2023,Вторичка,,1 совмещенный,Во двор,Евроремонт,,,Нет информации,,Нет информации,Нет,,,,,Наземная,,,,,1 балкон,,,
255,"2-комн. квартира, 49 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/312397669/,3 200 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Квартал Северный, 3На карте","Продается уютная двухкомнатная квартира по адресу: улица Квартал Северный, 3. Общая площадь квартиры составляет 49 кв. м, кухня - 8,2 кв. м, расположена на 4 этаже 4-этажного кирпичного дома. Дом был построен в 1983 году и находится в хорошем состоянии.

Квартира с евроремонтом, где каждая деталь продумана до мелочей. Светлые комнаты создают атмосферу уюта и комфорта. В квартире есть совмещенный санузел с современной сантехникой. Просторная кухня идеально подходит для приготовления кулинарных шедевров. Установлены качественные окна, выходящие на улицу, поэтому в квартире всегда светло. В наличии балкон, где можно наслаждаться вечерними закатами.

Дом оборудован наземной парковкой, что удобно для автовладельцев. Инфраструктура района развита: в шаговой доступности находятся школы, детские сады и магазины. Во дворе детская площадка. Это делает квартиру отличным выбором для семей с детьми. До остановок общественного транспорта можно дойти пешком, что обеспечивает легкий доступ к любым районам города.

Продажа осуществляется по договору купли-продажи. Квартира без обременений, один собственник, что упрощает процесс оформления документов. Возможна продажа в ипотеку.

Приглашаем вас лично оценить все преимущества этой квартиры. Записывайтесь на просмотр, будем рады показать вам ваш будущий дом!
Узнать больше  ",49 м²,"8,2 м²",4 из 4,1983,Вторичка,,1 совмещенный,На улицу,Евроремонт,111-86,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,Наземная,,,,,1 балкон,,,
256,"1-комн. квартира, 32 м², 1/3 этаж",https://kemerovo.cian.ru/sale/flat/307657096/,2 680 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, просп. Строителей, 65На карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 1-к. квартиру в Прокопьевске по проспекту Строителей 65/1
Цена: 2 млн. 680 тыс. руб. (Без дополнительных комиссий и %.)
Этаж: 1/3
Площадь:32 кв. м.
Описание: У дома большая автомобильная парковка. Развитая инфраструктура. Всё, что нужно для комфортной жизни в шаговой доступности (детский сад, школа, магазины, остановки общественного транспорта, Парк Победы, солнечный городок и т.д.)  . Квартира на первом этаже , теплая, светлая , не угловая , в обычном жилом состоянии, окна пластиковые , входная металлическая дверь, санузел совмещённый, установлены приборы учёта горячей и холодной воды. При необходимости остается мебель и техника.   Профессиональное юридическое сопровождение сделки.

Обращайтесь для уточнения информации или подбора нужного Вам варианта БЕСПЛАТНО.
Узнать больше  ",32 м²,6 м²,1 из 3,2009,Вторичка,,1 совмещенный,Во двор,Косметический,,Панельный,Железобетонные,2,Центральное,Нет,,,,,Наземная,,,,,,,,
257,"3-комн. квартира, 64,7 м², 6/9 этаж",https://kemerovo.cian.ru/sale/flat/307946907/,4 750 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 84На карте","Назовите при звонке данный номер объявления - 538293
 Предложение достойное Вашего внимания! 
Предлагаем к покупке просторную 3-комнатную квартиру на шестом этаже 9 этажного дома! 

Преимущества этой квартиры:

1. Просторная площадь 64.70 кв.м. позволит всем членам семьи чувствовать себя комфортно.
2. Отличное расположение в 6-м микрорайоне, рядом со всей необходимой инфраструктурой.
3. Свежий современный ремонт 2017 года гарантирует качество и уют.
4. Пластиковые окна, натяжные потолки, ламинат на полу - все для вашего удобства.
5. Раздельный санузел и кладовая позволяют удобно организовать пространство.
6. Теплая квартира, всегда комфортная температура за счет новых радиаторов.

Эта квартира подойдет как для семей с детьми, так и для молодых людей, ценящих комфорт и удобство. Рядом с домом находятся детские сады, больницы, магазины и развлекательные заведения, что делает жизнь здесь еще более удобной и интересной.

Не упустите шанс стать счастливым обладателем этой уютной квартиры. Звоните прямо сейчас и мы ответим на все ваши вопросы, а также организуем просмотр удобным для вас времени.

Один взрослый собственник. Быстрый выход на сделку.

Квартира доступна для просмотра и готова к заселению. Не упустите свой шанс на собственное уютное жилье по отличной цене!

Номер объекта: #1/538293/21572
Узнать больше  ","64,7 м²",9 м²,6 из 9,1987,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-97,Панельный,Железобетонные,4,Центральное,Нет,,,,,,,45 м²,,,1 балкон,,,
258,"3-комн. квартира, 65 м², 1/10 этаж",https://kemerovo.cian.ru/sale/flat/294239163/,4 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 74На карте","Агентство недвижимости СОЮЗ ПЛЮС
ПОКУПАЙТЕ: 3-к. квартиру в Прокопьевске по ул. Есенина 74
ВСЕГО: за 40 837 в месяц
Ипотеку возможно оформить по 2 документам и с плохой КИ
Цена: 4 млн. 500 тыс. руб. (без дополнительных комиссий и %)
Этаж: 1/9
Площадь: 65 кв.м.
Описание: Квартира находится в 6-ом микрорайоне, рядом школа, детский сад, Лента,  Солнечный городок, молодёжный парк, остановки общественного транспорта. Квартира улучшенной планировки, не угловая, теплая, светлая, в обычном жилом состоянии, санузел раздельный, входная металлическая дверь.
Профессиональное юридическое сопровождение сделки.

Обращайтесь для уточнения информации или подбора Вам нужного варианта бесплатно.
Узнать больше  ",65 м²,,1 из 10,1991,Вторичка,,,,Косметический,111-97,Монолитный,Железобетонные,4,Центральное,Нет,,,,,,,,Да,,,1 пассажирский,,
259,"1-комн. квартира, 30 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/309581979/,2 450 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 20На карте","Предлагается к покупке 1-ком квартира в самом комфортном районе Тыргана по ул. Обручева 20.
Рядом вся инфраструктура: 32 школа и 72 гимназия, детские сады, остановки, магазины и ТЦ, Молодежный парк.
Квартира не угловая, очень теплая!
Установлены пластиковые окна.
Квартира продается с мебелью и техникой.
Документы готовы под любой вид расчета
Узнать больше  ",30 м²,6 м²,4 из 5,1968,Вторичка,"2,5 м",1 совмещенный,На улицу,,1-464,Панельный,Железобетонные,8,Центральное,Нет,,,,,,,,,,1 балкон,,,
260,"2-комн. квартира, 55,5 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/309239854/,4 600 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, Институтская ул., 9На карте","2х комнатная квартира улучшенной планировки. косметический ремонт, в ванне кафельная плитка,  душевая кабина. окна пластиковые, балкон остеклен. двор после ремонта, большая парковка, детская площадка. дом в шаговой доступности от остановок транспорта, магазинов. рядом детский сад. за отдельную плату можем оставить мебель, бытовую технику. показ квартиры по предварительной договорённости.","55,5 м²",12 м²,3 из 5,1968,Вторичка,,1 совмещенный,Во двор,Косметический,,Кирпичный,Железобетонные,4,Центральное,Нет,Нет,42:32:0103013:***,"55,5 м²",Жилое,Наземная,,,,Да,1 балкон,,,
261,"2-комн. квартира, 45 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/313662850/,3 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Гайдара, 7На карте","Предлагаем к продаже 2-х комнатную квартиру на 5 этаже в хорошем районе. В квартире установлены пластиковые окна, сделан косметический ремонт, сан.узел раздельный, балкон застеклен. Квартира тёплая, светлая. Дом находится на второй линии от дороги, нет пыли и шума. Рядом школа, детские сады, магазины, торговые центры, аптеки, почта, остановки общественного транспорта. До Молодежного парка и ТРЦ Чайка 10 минут пешком. Поможем приобрести квартиру в ипотеку на выгодных для Вас условиях, полное юридическое сопровождение сделки, гарантия безопасности. . Номер в базе: 11102596.
Узнать больше  ",45 м²,6 м²,5 из 5,1972,Вторичка,,1 раздельный,,Косметический,1-464,Панельный,Нет информации,8,Центральное,Нет,,,,,,,,,,1 балкон,,,
262,"3-комн. квартира, 76,6 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/292734118/,4 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Комсомольская ул., 7На карте","Предлагаем к продаже теплую, уютную, просторную трёхкомнатную квартиру в центре города. Сделан современный ремонт. Балкон застеклен. Окна пластиковые. По всей квартире установлены натяжные потолки. Стены выровнены и поклеены хорошие, дорогие обои. Пол залит бетоном и постелен ламинат. На кухне пол выложен плиткой. Сан.узел раздельный, отделка кафель. Проводка новая. Установлена новая входная дверь. В квартире все остается. Прекрасный вид из окна на аллею героев. Вся инфраструктура в шаговой доступности: школа, детский сад, магазины, автобусные и трамвайные остановки, мфц, аптеки. Без долгов и обременений. Возможно приобрести квартиру своей мечты в ипотеку без первоначального взноса! Консультация бесплатная! Также работаем с материнским и другими сертификатами! Успевайте записаться на просмотр! . Номер в базе: 9932957.
Узнать больше  ","76,6 м²",12 м²,5 из 5,1959,Вторичка,,1 раздельный,,Евроремонт,Индивидуальный проект,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,,,,1 балкон,,,
263,"3-комн. квартира, 64 м², 9/9 этаж",https://kemerovo.cian.ru/sale/flat/309426308/,3 800 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Гайдара, 28На карте","Продается очень светлая и теплая квартира в прекрасном районе Тыргана! Окна не две стороны, санузел раздельный, два балкона! Квартира требует ремонта, но цена соответствует действительности! Подъезд чистый, прекрасные соседи! Школа и детские сады в минуте хотьбы! Квартира без обременений, виды расчета обговариваются отдельно!",64 м²,,9 из 9,1980,Вторичка,,,,,111-97,Панельный,Железобетонные,4,Центральное,Нет,,,,,,,,,,,,,
264,"4-комн. квартира, 60 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/310950318/,3 600 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 17На карте","Срочно! Продается теплая светлая квартира на Тыргане. В квартире установлены пластиковые окна, система теплый пол, заменены трубы, батареи, электропроводка, установлена сигнализация, сделан обычный косметический ремонт. Дом находится далеко от дороги, детский сад во дворе. В шаговой доступности школа, магазины, автобусные остановки. Возможна продажа в ипотеку без первоначального взноса, а также под различные виды сертификатов. Полное документальное сопровождение сделки! Записывайтесь на просмотр! . Номер в базе: 11679976.",60 м²,7 м²,1 из 5,1972,Вторичка,,1 раздельный,,Косметический,1-464,Панельный,Железобетонные,6,Центральное,Нет,,,,,,,,,,1 балкон,,,
265,"3-комн. квартира, 60,5 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/314566077/,5 200 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Жолтовского, 17На карте","Прeдлагaем к продaже теплую, светлую, уютную квaртиpу в удобнoй локaции нa Tыргaнe. B квapтиpe установлены плaстиковыe oкнa, нa пoлу линoлeум, на стенах обои. Сaн узел совмeщен. Балкoн застеклeн изнутри обшит. Дом панельный, тиxий двop, порядoчныe сосeди. В квapтире oстaeтcя практически все, техника по согласованию. Paзвитая инфраструктура: Молодежный парк, фонтан, магазины, остановки, детский сад, школа, все в шаговой доступности. Звоните, записывайтесь на просмотр. . Номер в базе: 11860572.","60,5 м²",6 м²,4 из 5,1976,Вторичка,,1 совмещенный,,Косметический,1-464,Панельный,Железобетонные,6,Центральное,Нет,,,,,,,,,,1 балкон,,,
266,"2-комн. квартира, 42,3 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/305634603/,2 300 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. 2-я Кирпичная, 7На карте","срочно продам квартиру ,связи с переездом , квартира теплая ,косметический ремонт","42,3 м²",7 м²,5,1963,Вторичка,"2,5 м",1 совмещенный,,Косметический,111-86,Кирпичный,Железобетонные,2,Центральное,Нет,Нет,42:32:0103001:***,"42,3 м²",Жилое,Наземная,1,,,,1 балкон,,,
267,"1-комн. квартира, 33 м², 8/11 этаж",https://kemerovo.cian.ru/sale/flat/312400242/,1 870 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Союзная ул., 79На карте","Продается уютная однокомнатная квартира в Прокопьевске на Союзной улице, 79. Общая площадь квартиры составляет 33 кв. м, а кухня — 8 кв. м. Квартира расположена на 8 этаже 11-этажного монолитного дома, построенного в 2011 году. Это идеальный вариант для одного человека или пары.

В квартире выполнен косметический ремонт, поэтому можно сразу заехать и жить. Просторная комната и удобная кухня создают атмосферу уюта и комфорта. Санузел совмещенный, что удобно для повседневного использования. Из окон открывается вид на улицу, а наличие балкона добавляет еще больше пространства для отдыха или хранения вещей.

Дом в отличном состоянии, оборудован двумя пассажирскими лифтами, что делает доступ к квартире быстрым и удобным. На территории дома предусмотрена наземная парковка, поэтому вы всегда сможете найти место для своего автомобиля. Квартира свободна от проживания.

В шаговой доступности находятся школы и магазины, которые обеспечат все необходимое для комфортной жизни. Отличная транспортная доступность позволяет легко добраться до любой точки города.

Квартира продается в рамках стандартного договора купли-продажи. Юридически чистый объект, без обременений и ограничений. Продажа от агента, что гарантирует безопасность и прозрачность сделки.

Приглашаем вас на просмотр этой замечательной квартиры. Звоните и записывайтесь на удобное время!
Узнать больше  ",33 м²,8 м²,8 из 11,2011,Вторичка,,1 совмещенный,На улицу,Косметический,Индивидуальный проект,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,Наземная,,,,,1 балкон,2 пассажирских,,
268,"1-комн. квартира, 31,4 м², 4/4 этаж",https://kemerovo.cian.ru/sale/flat/310194338/,2 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Кучина, 26На карте","Агентство недвижимости СОЮЗ ПЛЮС
Покупайте: 1к. квартиру в Прокопьевске по ул. Кучина 26
Цена: 2 млн. . руб. (Без дополнительных комиссий и %.)
Этаж: 4/4
Площадь: 31.4 кв. м.
Описание: Квартира находится на Ясной Поляне, рядом школы,  71 и  69, детский сад, ДК, стадион, Сбербанк, супермаркеты, аптеки, рынок, кафе, автобусные остановки. Квартира после косметического ремонта, установлены пластиковые окна , натяжной потолок, с/у совмещённый с отделкой кафель, межкомнатные двери, качественная входная дверь. Светлая, тёплая, сухая.

Профессиональное юридическое сопровождение сделки.

Обращайтесь для уточнения информации или подбора нужного Вам варианта БЕСПЛАТНО.
Узнать больше  ","31,4 м²",6 м²,4 из 4,1962,Вторичка,,1 совмещенный,Во двор,Косметический,111-86,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,,,,,,,,,
269,"3-комн. квартира, 89 м², 3/5 этаж",https://kemerovo.cian.ru/sale/flat/307891865/,2 490 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Комсомольская ул., 1На карте","Продается четырёхкомнатная квартира, без обременений и долгов, полностью подготовленная для ремонта. В собственности более трех лет, один взрослый собственник. Отопление исправно, электрика проведена, коммуникации водоотведения в наличии, но перекрыты. Пластиковые стеклопакеты, высокие потолки.
Квартира в самом центре, вся инфраструктура в шаговой доступности, школа, детские сады,  магазины, остановки общественного транспорта. Стройматериалы (все, что на фото) остаются вам.
Есть домофон.

Сделка сопровождается риэлтором, но уточняющие вопросы по поводу цены, назначения даты просмотра и прочего можно задавать в данном профиле собственнику. Для быстрого ответа на данной платформе пишите сообщением.
Узнать больше  ",89 м²,12 м²,3,1953,Вторичка,,1 раздельный,На улицу и двор,Без ремонта,111-86,Кирпичный,Железобетонные,3,Центральное,Нет,Нет,42:32:0101019:***,"88,9 м²",Жилое,Наземная,1,70 м²,,,1 балкон,,,
